hanzi,pinyin,english,lesson,category
漂亮,piào liang pretty,5
坐,zuò,to sit,5
在,zài,at; in; on,5
学校,xué xiào,school,5
喝,hē,to drink,5
点儿,diǎn(er),a little, a bit; some,5
茶,chá,tea,5
咖啡,kā fēi,coffee,5
吧,ba,a sentence-final particle,5
要,yào,to want,5
瓶,píng,measure word; bottle,5
可乐,kě lè,Coke or Pepsi cola,5
可以,kě yǐ,can; may,5
对不起,duì bu qǐ,sorry,5
给,gěi,to give,5
杯,bēi,measure word for cup & glass,5
水,shuǐ,water,5
玩儿,wán(er),to have fun; to play,5
了,le,a dynamic particle; (the occurrence or completion of an action or event),5
图书馆,túshūguǎn,library,5
 一起,yìqǐ,together,5
聊天儿,liáo tiān(er),to chat,5
聊,liáo,to chat,5
才,cái,not until, only then,5 
回家,huí jiā,to go home,5
回,huí,to return,5
